Date/Time,kWh del int,kVARh del int,kWh rec int,kVARh rec int,kWh del-rec,kVARh del-rec,Vln a,Vll ab,Vll bc,Vll ca,kW tot,kVAR tot,PF sign tot,Freq,Vll avg,I avg
31-12-2022 0:15:00000,2521.243896,212.169220,0.000000,0.000000,8663821.000000,2038996.000000,13425.521,23270.205,23299.973,23257.920,10056.448,740.426208,-99.730049,50.059380,23276.031250,250.536148
31-12-2022 0:30:00000,2517.602539,264.138855,0.000000,0.000000,8666339.000000,2039260.125000,13417.558,23258.854,23288.062500,23242.650,10063.307,1135.334473,-99.369606,50.019352,23263.189,251.789078
31-12-2022 0:45:00000,2521.919434,267.742828,0.000000,0.000000,8668860.000000,2039527.875000,13405.838,23243.586,23273.707,23220.020,10272.729,992.811340,-99.536232,49.940151,23245.770,256.756958
31-12-2022 1:00:00000,2549.097656,224.721420,0.000000,0.000000,8671410.000000,2039752.500000,13414.059570,23256.213,23287.633,23236.187500,10197.019,776.775879,-99.711113,49.956936,23260.012,254.263947
31-12-2022 1:15:00000,2544.439697,247.406708,0.000000,0.000000,8673954.000000,2040000.000000,13424.558,23273.127,23299.793,23252.016,10144.181,1108.929932,-99.407791,49.996212,23274.979,253.570404
31-12-2022 1:30:00000,2556.796387,277.850739,0.000000,0.000000,8676511.000000,2040277.875000,13415.715820,23257.383,23284.490,23237.408,10210.535,1129.067505,-99.394165,49.979073,23259.760,255.433014
31-12-2022 1:45:00000,2556.537842,249.738403,0.000000,0.000000,8679067.000000,2040527.500000,13419.612,23267.439,23296.184,23243.437500,10209.948,869.482361,-99.639343,49.993435,23269.020,254.674301
31-12-2022 2:00:00000,2556.718994,189.649734,0.000000,0.000000,8681624.000000,2040717.250000,13402.184570,23233.428,23263.346,23215.443,10208.291,792.977051,-99.699654,49.954380,23237.404,254.810364
31-12-2022 2:15:00000,2556.915283,271.506714,0.000000,0.000000,8684181.000000,2040988.750000,13409.288,23239.162,23277.629,23235.559,10222.355,1351.213867,-99.137680,49.977791,23250.783,256.489746
31-12-2022 2:30:00000,2555.427002,307.622314,0.000000,0.000000,8686736.000000,2041296.375000,13449.364,23297.107,23353.609,23319.865,10238.090820,428.469086,-99.912544,50.050892,23323.527,254.115799
31-12-2022 2:45:00000,2556.302979,53.288898,0.000000,0.003080,8689293.000000,2041349.625000,13403.113,23219.434,23274.484,23237.809,10232.676,173.682785,-99.985596,50.036682,23243.908,254.656387
31-12-2022 3:00:00000,2554.310791,44.421318,0.000000,0.000000,8691847.000000,2041394.000000,13413.536,23234.906250,23290.086,23256.838,10241.459,218.918839,-99.977165,50.032700,23260.611,254.720932
31-12-2022 3:15:00000,2559.684570,39.181164,0.000000,0.000000,8694407.000000,2041433.250000,13407.312,23225.346,23279.766,23245.307,10196.615,95.713959,-99.995598,49.975048,23250.141,253.653030
31-12-2022 3:30:00000,2556.352539,17.800148,0.000000,0.069765,8696963.000000,2041451.000000,13410.826,23227.299,23284.086,23254.468750,10229.771,62.160042,-99.998154,50.042183,23255.285,254.425598
31-12-2022 3:45:00000,2556.552002,25.260658,0.000000,0.037063,8699520.000000,2041476.125000,13403.461,23217.389,23270.656250,23238.393,10220.765,131.120544,-99.991776,49.941532,23242.146,254.352783
31-12-2022 4:00:00000,2556.509277,22.525610,0.000000,0.023835,8702076.000000,2041498.625000,13403.899,23219.338,23272.803,23238.764,10201.000000,44.744427,-99.999039,49.944233,23243.635,253.811020
31-12-2022 4:15:00000,2553.869629,21.374260,0.000000,0.021643,8704630.000000,2041520.000000,13408.361,23226.385,23284.377,23249.035,10153.296,57.229630,-99.998413,50.077850,23253.266,252.525009
